iter	Logloss
0	0.6519546241
1	0.6228409617
2	0.5980490166
3	0.5703065571
4	0.5483136093
5	0.5230320445
6	0.5035923473
7	0.4842414722
8	0.4704741896
9	0.4560635751
10	0.4434419331
11	0.4329769737
12	0.424595187
13	0.4147497344
14	0.4062773855
15	0.398410516
16	0.3919694332
17	0.3829535769
18	0.3781557853
19	0.371500651
20	0.3659995096
21	0.3607417592
22	0.356898793
23	0.3491127951
24	0.3462723046
25	0.341569064
26	0.3382485641
27	0.3354609707
28	0.3320642572
29	0.3291313305
30	0.3270271435
31	0.3239276551
32	0.3207095498
33	0.318355306
34	0.3131682279
35	0.31148082
36	0.3099292421
37	0.3075332642
38	0.305048357
39	0.3032772131
40	0.3013381958
41	0.2970271596
42	0.2959426344
43	0.2911144056
44	0.2883209496
45	0.2863748383
46	0.2854684395
47	0.2838771619
48	0.2821357593
49	0.2791250128
50	0.2757658841
51	0.2747192383
52	0.2733942935
53	0.2721652918
54	0.2705103824
55	0.2695421989
56	0.2678456624
57	0.2668197364
58	0.2629844264
59	0.2598788613
60	0.2568943224
61	0.2545553642
62	0.2536196525
63	0.2518459387
64	0.2507517764
65	0.24948436
66	0.2484613787
67	0.2474107977
68	0.2445617943
69	0.2433585184
70	0.2407503362
71	0.2389297753
72	0.2366902937
73	0.2361764741
74	0.2338821143
75	0.2328176933
76	0.2324074193
77	0.2308684232
78	0.2302832085
79	0.2292480469
80	0.2272592645
81	0.2264294273
82	0.2253465084
83	0.2248002973
84	0.2242863036
85	0.2234226428
86	0.2222214281
87	0.2203866524
88	0.2187995509
89	0.2185166476
90	0.2178036874
91	0.2162397552
92	0.2154415733
93	0.2137108518
94	0.2129763687
95	0.2120687652
96	0.2115447329
97	0.210121128
98	0.208789116
99	0.2079428422
100	0.207482348
101	0.2060832375
102	0.2053204453
103	0.2041977732
104	0.2037014342
105	0.2032735323
106	0.202691463
107	0.2019874974
108	0.2014799018
109	0.2003632663
110	0.1996444301
111	0.1987124527
112	0.1974679244
113	0.1968234949
114	0.1961187664
115	0.1954655831
116	0.1942888628
117	0.1938214085
118	0.1930266531
119	0.1925780982
120	0.1919480976
121	0.1914170382
122	0.1903144435
123	0.1898659957
124	0.1891692312
125	0.188411967
126	0.1878172891
127	0.187197113
128	0.1867474874
129	0.1864301983
130	0.1858216804
131	0.1855997186
132	0.185254281
133	0.1841177154
134	0.1833627266
135	0.1825967086
136	0.1820414225
137	0.1812262552
138	0.1806904843
139	0.1803308052
140	0.179916074
141	0.1796020642
142	0.1791226036
143	0.1785283942
144	0.1779624537
145	0.1774588468
146	0.176941266
147	0.1766274569
148	0.1761797453
149	0.1756700884
150	0.1753591839
151	0.1749398616
152	0.1742054186
153	0.1737557662
154	0.1734402171
155	0.1732605114
156	0.1724097269
157	0.1716609754
158	0.1714077464
159	0.1710890385
160	0.1707260935
161	0.1702634309
162	0.1697857773
163	0.1694103977
164	0.1692111634
165	0.1689547355
166	0.1686988697
167	0.1681168941
168	0.1675711916
169	0.1672830013
170	0.166979686
171	0.1665027418
172	0.1660746926
173	0.1658741733
174	0.1656224435
175	0.1652678774
176	0.1645910966
177	0.1641431039
178	0.1637002376
179	0.1628043058
180	0.1619905304
181	0.1616607934
182	0.1614191825
183	0.1610620867
184	0.1608883908
185	0.160280328
186	0.1599474455
187	0.1594171491
188	0.159082406
189	0.1585440786
190	0.1581995914
191	0.1578027959
192	0.1574657507
193	0.1572147302
194	0.1568496704
195	0.1564865514
196	0.1561735187
197	0.1559580619
198	0.1556183129
199	0.1553124946
